"ids","names","popularity","followers","genres","first_release","last_release","num_releases","num_tracks","monthly_listeners","fuente","log_followers","log_monthly_listeners","z_monthly_listeners","z_followers","z_popularity","indice_demanda_digital","nivel_demanda_digital"
"2GRDbUJRZwKzeiwxrjJdmQ","2rare",55,111305,"philly drill, philly rap",2023,2024,20,1,1519710,"base_featured",5.04651857580513,6.18176100699833,1.17931877757395,0.926937113088279,1.30035076482537,1.1355355518292,"demanda_media"
"41Q0HrwWBtuUkJc7C1Rp6K","311",60,1024848,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",1993,2023,20,1,3274395,"base_featured",6.01065988168674,6.51513120110368,1.38623256263936,1.66377903635946,1.53204053781585,1.52735071227156,"demanda_alta"
"7tLS8BRv5KP3jPwm3KdsPl","350",37,10809,"christian hip hop, christian trap",2020,2024,20,2,112349,"base_featured",4.03382569395331,5.05057307675515,0.47722128833966,0.152989802466207,0.466267582059659,0.365492890955176,"demanda_media"
"65LSFEqRhq074aUBF1zF2e","365lit",30,5995,"k-rap, korean trap, korean underground rap",2019,2020,3,5,24472,"base_featured",3.77786162417624,4.38868721020124,0.0664067873687556,-0.042629922891781,0.141901899872993,0.0552262547833224,"demanda_media"
"3zXw2Eh96iTT51pytzHdZi","38 special",57,1207616,"album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, soft rock, southern rock",1977,2023,12,9,2052924,"base_featured",6.08192921809255,6.31237308347623,1.26038613031622,1.71824639979173,1.39302667402156,1.45721973470984,"demanda_media"
"4GHi4xklo0FT0l2CNuLFh2","3teeth",44,101228,"industrial metal, industrial rock",2014,2023,20,1,251420,"base_featured",5.00530494665167,5.40040154941687,0.694350277919368,0.895439728228649,0.790633264246326,0.793474423464781,"demanda_media"
"1m2wYIvVYvhEnvdaOJbIfT","408",47,51272,"pop punk",2022,2024,20,1,327406,"base_featured",4.709888728896,5.51508796044206,0.76553300457096,0.669668824390505,0.929647128040612,0.788282985667359,"demanda_media"
"7GmjP8u0uwwAwBt3e3tmdS","408 darwin",41,29544," rap ",2022,2024,20,1,297454,"base_featured",4.47048399431569,5.47342127349349,0.739671628658811,0.486704518233032,0.65161940045204,0.625998515781294,"demanda_media"
"0yknvLWQZxwsMjhUhwWZQ8","41",62,179203,"new york drill",2020,2024,18,1,3560328,"base_featured",5.25334769929117,6.55149013176013,1.4087995590178,1.08500561218509,1.62471644701204,1.37284053940498,"demanda_alta"
"45gHcnDnMC15sgx3VL7ROG","42 dugg",67,1106180,"detroit trap, southern hip hop, trap",2019,2024,20,1,7256168,"base_featured",6.04382619466287,6.86070738911719,1.60072227514122,1.68912628545258,1.85640622000252,1.71541826019877,"demanda_alta"
"66u2mp8mtMEOUH2TWWr98O","44magnumb",13,27,"korean drill",2021,2023,7,5,5097,"base_featured",1.44715803134222,3.70739983113325,-0.356449703141905,-1.82386272294126,-0.645843328294626,-0.942051918125932,"demanda_baja"
"1JWMpIl0nhqFJNdO3IOQ20","49 winchester",59,85727,"modern country pop",2014,2023,15,1,1702930,"base_featured",4.93312269192811,6.23119705141161,1.21000238171458,0.840274669878702,1.48570258321775,1.17865987827035,"demanda_media"
"0LIl9fjMPEZp8UDiL8Yuo4","4b",37,77181,"brostep, electro house, electronic trap",2020,2024,20,1,267821,"base_featured",4.88751602815751,5.42784624887528,0.71138445417547,0.805419922299987,0.466267582059659,0.661023986178372,"demanda_media"
"1gHzFOHKBOOz6HAdLX8QeM","4bout",27,12806,"korean r&b",2020,2024,20,1,38771,"base_featured",4.10744740952361,4.58851820406527,0.190436433824554,0.209254964185152,0.00288803607870687,0.134193144696138,"demanda_media"
"0yWkm3SjcPi6xzWv5qCKmM","4to28",27,172,"study beats",2021,2022,2,1,50058,"base_featured",2.2380461031288,4.69948216970649,0.259308740175483,-1.21942903220277,0.00288803607870687,-0.319077418649526,"demanda_baja"
"5Rl15oVamLq7FbSb0NNBNy","5 seconds of summer",73,9876341,"boy band, pop",2014,2024,20,1,21693926,"base_featured",6.99459612035884,7.3363381744236,1.89593332826338,2.41574917399028,2.13443394759109,2.14870548328158,"demanda_alta"
"3q7HBObVc0L8jNeTe5Gofh","50 cent",80,14223100,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",2003,2022,20,1,35609169,"base_featured",7.15299429402842,7.55156185099464,2.02951679295949,2.53680447389014,2.45879962977775,2.34170696554246,"demanda_alta"
"76TM3QXivQvlLmZxdYxMZr","666",47,45614,"eurodance, german techno",1998,2024,20,1,543402,"base_featured",4.65910767919981,5.73512203172606,0.902102150036717,0.630859568842993,0.929647128040612,0.820869615640107,"demanda_media"
"4IVAbR2w4JJNJDDRFP3E83","6lack",69,4652699,"atl hip hop, melodic rap, r&b, rap, trap",2016,2024,20,1,13174633,"base_featured",6.66770505069684,7.11973855906574,1.76149585589823,2.16592371479614,1.94908212919871,1.95883389996436,"demanda_alta"
"00ITn8oTHWAJMGySvynsYg","701",4,58," pop ",2021,2024,15,3,1473,"base_featured",1.77085201164214,3.16849748352303,-0.690931688923223,-1.5764806291128,-1.06288491967748,-1.11009907923784,"demanda_baja"
"2yQlvcbmpqAVYrWs2ALKVX","79rs gang",19,4093," traditional ",2015,2020,5,1,12474,"base_featured",3.61214783832649,4.09604055429543,-0.115231008483709,-0.16927615610801,-0.367815600706055,-0.217440921765925,"demanda_baja"
"4smeBjKru2y3oeQkGSfotv","7apes",35,3074,"lo-fi jazzhop",2020,2024,20,1,189142,"base_featured",3.48784512011144,5.27679027310628,0.617628130857514,-0.264274112733945,0.373591672863469,0.242315230329013,"demanda_media"
"5Bahs19BH1UFW8Q6S2MCxu","7vvch",47,11165,"gym phonk",2023,2024,20,1,467697,"base_featured",4.04789762351441,5.66996551275473,0.861661276196081,0.16374422982938,0.929647128040612,0.651684211355357,"demanda_media"
"1YznSk5tLLp9BnzuNgghrZ","8 graves",40,125500,"rebel blues",2021,2023,20,5,223345,"base_featured",5.09864718631707,5.34897817891001,0.662433194687171,0.966776237698703,0.605281445853945,0.744830292746606,"demanda_media"
"4F9apzBcSE0OSfHYbxo4RF","80purppp",63,172647,"bedroom r&b",2018,2024,20,1,3747243,"base_featured",5.23716155173271,6.5737119728919,1.42259204959134,1.07263540044894,1.67105440161014,1.3887606172168,"demanda_alta"
"3LwiPwIJNshV4ItekGcIMo","8485",41,56463,"glitchcore, hyperpop",2020,2024,20,1,150055,"base_featured",4.75177164101589,5.17625336540429,0.555227614916919,0.701677706626286,0.65161940045204,0.636174907331748,"demanda_media"
"6VJ8RuUWKIgm5p5uEvZCfQ","8kays",41,24076,"melodic house, ukrainian electronic",2019,2024,20,1,277456,"base_featured",4.3816023727597,5.44319568616234,0.720911431163363,0.418777021950849,0.65161940045204,0.597102617855417,"demanda_media"
"3H7pODXycF821OnRyAw2VT","911",37,166823,"boy band",1997,2023,6,1,256906,"base_featured",5.22225853022124,5.40977593774224,0.700168705017447,1.06124581370883,0.466267582059659,0.742560700261979,"demanda_media"
"0Zoe6ljAJo85rggnN6OaOF","92914",43,231849,"chill pop, korean indie folk",2017,2024,12,5,302156,"base_featured",5.36520710023182,5.48023265989892,0.743899270384468,1.1704938032026,0.744295309648231,0.886229461078432,"demanda_media"
"6V03b3Y36lolYP2orXn8mV","98º",50,492123,"boy band",1998,2023,20,1,1055978,"base_featured",5.69207454530924,6.02365528157392,1.08118686696368,1.4203012073832,1.0686609918349,1.19004968872726,"demanda_media"
"6uD2LjPHUjxrpax0se17Nc","999999999",41,126323,"acid techno, italian techno",2016,2020,11,3,261245,"base_featured",5.10148586898269,5.41704964958331,0.704683299528668,0.968945691887767,0.65161940045204,0.775082797289492,"demanda_media"
"4s8ZGMVf3OiPktSP4ulpqU","9th wonder",52,209871,"alternative hip hop, hip hop, instrumental hip hop, north carolina hip hop",2012,2024,20,12,1407141,"base_featured",5.32195450119967,6.14833792593841,1.15857398294942,1.13743814210509,1.16133690103109,1.15244967536187,"demanda_media"
"5Kbx8AkkM7259YdQh4rTdX","a beacon school",36,46071,"brooklyn indie, chill dream pop",2018,2024,15,1,158978,"base_featured",4.66343706552185,5.20133976088366,0.570798056228312,0.63416828855519,0.419929627461564,0.541631990748355,"demanda_media"
"31W5EY0aAly4Qieq6OFu6I","a boogie wit da hoodie",77,8135806,"melodic rap, rap, trap",2016,2024,20,1,19718973,"base_featured",6.9104006375758,7.2948843143714,1.87020404819985,2.35140304434503,2.31978576598347,2.18046428617612,"demanda_alta"
"5xKp3UyavIBUsGy3DQdXeF","a great big world",59,566603,"neo mellow, piano rock, pop rock, viral pop",2014,2023,20,1,5054588,"base_featured",5.7532796361424,6.70368584790154,1.50326328809254,1.46707700318033,1.48570258321775,1.48534762483021,"demanda_media"
"09hVIj6vWgoCDtT03h8ZCa","a tribe called quest",63,2093914,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1990,2016,11,3,5140215,"base_featured",6.3209590480304,6.71098136911922,1.50779141908885,1.90092418626986,1.67105440161014,1.69325666898962,"demanda_alta"
"2jzc5TC5TVFLXQlBNiIUzE","a-ha",73,2228657,"new romantic, new wave, new wave pop, permanent wave, synthpop",1985,2022,20,2,24098732,"base_featured",6.34804342868279,7.38199420997847,1.92427078402511,1.92162333794895,2.13443394759109,1.99344268985505,"demanda_alta"
"3TaUSUXn41GixL7zbvrIDt","a-trak",61,129211,"canadian electronic, edm, electro house, electronic trap, fidget house, house, turntablism",2014,2024,20,3,4926889,"base_featured",5.11130284873473,6.69257286612587,1.49636576346908,0.976448287406784,1.57837849241394,1.35039751442994,"demanda_alta"
"1mYsTxnqsietFxj1OgoGbG","a.r. rahman",79,45393520,"filmi",2023,2024,20,7,33277901,"base_featured",7.65699387059401,7.5221559384557,2.01126534524665,2.92198454558603,2.41246167517966,2.44857052200411,"demanda_alta"
"5zMgvYBz4AW0gFyPtg7fR9","a*teens",43,202504,"bubblegum dance, dance pop, europop",1999,2004,20,6,430264,"base_featured",5.30643575073884,5.63373601974027,0.839174618230932,1.12557798647587,0.744295309648231,0.903015971451676,"demanda_media"
"5dHt1vcEm9qb8fCyLcB3HL","a$ap ferg",66,3737590,"hip hop, pop rap, rap, southern hip hop, trap",2013,2023,20,1,10098706,"base_featured",6.57259177533028,7.00426577192992,1.68982504704729,2.0932336969303,1.81006826540442,1.86437566979401,"demanda_alta"
"13ubrt8QOOCPljQ2FL1Kca","a$ap rocky",81,13965430,"east coast hip hop, hip hop, rap, trap",2011,2024,20,3,37070360,"base_featured",7.14505434340496,7.5690268153132,2.04035681986377,2.53073639190633,2.50513758437585,2.35874359871532,"demanda_alta"
